gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,7383298,Characterization,95341,0.012913064053489376,0.40789704159060597,point estimate
men,7383298,Clothing/Makeup/Appearance ,9784,0.0013251530684526074,0.2132465639682456,point estimate
men,7383298,Drugs and Addiction,39024,0.005285442900990858,0.3353956005167616,point estimate
men,7383298,Emotions,8410,0.0011390573697553587,0.1974356867291039,point estimate
men,7383298,Explicit Reference to Defendant’s Gender ,7772,0.001052646121015297,0.18196061436657798,point estimate
men,7383298,Figurative/Metaphorical Language,13967,0.0018917020550978708,0.2455006100020153,point estimate
men,7383298,Gender and Gender Roles,44119,0.0059755139234526355,0.3339216366053145,point estimate
men,7383298,Immigration,19284,0.0026118409415413005,0.26917942875632,point estimate
men,7383298,Intimate Partner Relationships,9554,0.0012940016778409866,0.20154206161277258,point estimate
men,7383298,Mental Health/Mental Disability,52538,0.00711579026066671,0.3516888498809516,point estimate
men,7383298,Parenting Language,143859,0.01948438218259645,0.43641858821919505,point estimate
men,7383298,Racial Tropes,22969,0.003110940395470967,0.2945199114478238,point estimate
men,7383298,Religion ,7189,0.000973684117856275,0.19223884338115294,point estimate
men,7383298,Sexual Language,31511,0.004267875954620821,0.2917499574126904,point estimate
men,7383298,Sexuality,597,8.085817476146838e-05,0.07102132341676257,point estimate
men,7383298,Socioeconomic Status/Spending/Poverty,17234,0.002334187242611635,0.255724666986222,point estimate
men,7383298,Testimony re Gender-Based Violence ,23553,0.003190037839458735,0.284415053899868,point estimate
men,7383298,Women’s Non-Domestic Work,12661,0.0017148163327553624,0.23507828537639522,point estimate
women,8662628,Characterization,132477,0.015292934199644727,0.4438960830045221,point estimate
women,8662628,Clothing/Makeup/Appearance ,13203,0.0015241333230516189,0.22869701601846393,point estimate
women,8662628,Drugs and Addiction,41349,0.004773262802004195,0.3187310267856845,point estimate
women,8662628,Emotions,14763,0.0017042172421579225,0.2414989978844756,point estimate
women,8662628,Explicit Reference to Defendant’s Gender ,21757,0.0025115934794845167,0.28106765528628536,point estimate
