gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,795797,Characterization,12113,0.015221218476571288,0.4411486054908755,point estimate
men,795797,Clothing/Makeup/Appearance ,980,0.0012314698346437597,0.21203530188233716,point estimate
men,795797,Drugs and Addiction,7357,0.009244819972932796,0.41519781167458425,point estimate
men,795797,Emotions,675,0.0008482062636576916,0.169045823103657,point estimate
men,795797,Explicit Reference to Defendant’s Gender ,1295,0.0016272994243506822,0.21001918944663953,point estimate
men,795797,Figurative/Metaphorical Language,969,0.0012176472140508195,0.1956537834202296,point estimate
men,795797,Gender and Gender Roles,5523,0.006940212139528046,0.33863644428460854,point estimate
men,795797,Immigration,2494,0.00313396506898116,0.29159723839462287,point estimate
men,795797,Intimate Partner Relationships,1254,0.0015757787475951782,0.20801634529172525,point estimate
men,795797,Mental Health/Mental Disability,6509,0.008179221585404317,0.35890141808118753,point estimate
men,795797,Parenting Language,20456,0.025705047895380355,0.46602162494870997,point estimate
men,795797,Racial Tropes,3263,0.004100291908614885,0.3389736680027544,point estimate
men,795797,Religion ,628,0.0007891459756696745,0.17913469263499396,point estimate
men,795797,Sexual Language,3624,0.00455392518443774,0.303494899906234,point estimate
men,795797,Sexuality,10,1.256601872085469e-05,0.03206330853962675,point estimate
men,795797,Socioeconomic Status/Spending/Poverty,1118,0.0014048808929915545,0.20885188538587007,point estimate
men,795797,Testimony re Gender-Based Violence ,3044,0.0038250960986281678,0.2984770144916983,point estimate
men,795797,Women’s Non-Domestic Work,1753,0.002202823081765827,0.26774636548456104,point estimate
women,1916271,Characterization,26944,0.014060641735954883,0.4239969887410216,point estimate
women,1916271,Clothing/Makeup/Appearance ,2250,0.0011741554299992015,0.20704229798258927,point estimate
women,1916271,Drugs and Addiction,10954,0.0057163104800938905,0.32648537471953687,point estimate
women,1916271,Emotions,3425,0.0017873254878876736,0.24538924877389537,point estimate
women,1916271,Explicit Reference to Defendant’s Gender ,6180,0.0032250135810644735,0.29565894069004417,point estimate
women,1916271,Figurative/Metaphorical Language,4029,0.002102520989985237,0.2570973976793778,point estimate
women,1916271,Gender and Gender Roles,18160,0.009476738937238,0.39570977726986306,point estimate
women,1916271,Immigration,4962,0.0025894041082915728,0.2650551501618033,point estimate
women,1916271,Intimate Partner Relationships,5970,0.0031154257409312146,0.2924883310196252,point estimate
women,1916271,Mental Health/Mental Disability,19618,0.010237591655877483,0.40153008323521544,point estimate
women,1916271,Parenting Language,57946,0.03023893802077055,0.5054522435442839,point estimate
women,1916271,Racial Tropes,3583,0.0018697772914165064,0.2289040702981891,point estimate
women,1916271,Religion ,1682,0.0008777464147816254,0.18892331695097814,point estimate
women,1916271,Sexual Language,11650,0.006079515893106977,0.35066542775075704,point estimate
women,1916271,Sexuality,150,7.827702866661343e-05,0.08002517801585174,point estimate
women,1916271,Socioeconomic Status/Spending/Poverty,4058,0.002117654548860782,0.2564166399352139,point estimate
women,1916271,Testimony re Gender-Based Violence ,7917,0.004131461573023857,0.3101998444113052,point estimate
women,1916271,Women’s Non-Domestic Work,2778,0.0014496905709056808,0.2172058070645512,point estimate
men,798159,Characterization,12071,0.015123553076517336,0.44277977627135323,bootstrap 1
men,798159,Clothing/Makeup/Appearance ,886,0.0011100545129479214,0.1970337007805961,bootstrap 1
men,798159,Drugs and Addiction,7499,0.009395371097738671,0.4143652581920625,bootstrap 1
men,798159,Emotions,709,0.0008882941869978289,0.17552322917079796,bootstrap 1
men,798159,Explicit Reference to Defendant’s Gender ,1166,0.0014608618082362036,0.20079218108774757,bootstrap 1
men,798159,Figurative/Metaphorical Language,1012,0.0012679177958276485,0.20047297470610492,bootstrap 1
men,798159,Gender and Gender Roles,5568,0.006976053643446983,0.3404514131819307,bootstrap 1
men,798159,Immigration,2386,0.002989379309135147,0.2849063171880124,bootstrap 1
men,798159,Intimate Partner Relationships,1368,0.00171394421412275,0.21784977322727295,bootstrap 1
men,798159,Mental Health/Mental Disability,6820,0.008544663406664587,0.35995487262350534,bootstrap 1
men,798159,Parenting Language,19622,0.02458407410052383,0.46136145597849676,bootstrap 1
men,798159,Racial Tropes,3171,0.003972892619139795,0.3349570838052408,bootstrap 1
men,798159,Religion ,598,0.0007492241520799741,0.17385631802226015,bootstrap 1
men,798159,Sexual Language,3646,0.004568012137932417,0.3024275630814269,bootstrap 1
men,798159,Sexuality,6,7.517299184748904e-06,0.026443033015226953,bootstrap 1
men,798159,Socioeconomic Status/Spending/Poverty,1243,0.0015573338144404811,0.2195437831752533,bootstrap 1
men,798159,Testimony re Gender-Based Violence ,3013,0.003774937073941408,0.2974295655670135,bootstrap 1
men,798159,Women’s Non-Domestic Work,1992,0.002495743329336636,0.2812716485444373,bootstrap 1
women,1918554,Characterization,26068,0.013587316280907391,0.41968911109665075,bootstrap 1
women,1918554,Clothing/Makeup/Appearance ,2794,0.0014563051131216529,0.22568076656690753,bootstrap 1
women,1918554,Drugs and Addiction,11667,0.006081142360340131,0.3333641941584821,bootstrap 1
women,1918554,Emotions,3063,0.0015965148752654344,0.23531124131018008,bootstrap 1
women,1918554,Explicit Reference to Defendant’s Gender ,5975,0.003114324642412984,0.29317313470109546,bootstrap 1
women,1918554,Figurative/Metaphorical Language,3880,0.002022356420512532,0.2531856778943717,bootstrap 1
women,1918554,Gender and Gender Roles,17885,0.009322124891975935,0.39355704768407673,bootstrap 1
women,1918554,Immigration,5067,0.0026410515419425257,0.2677934838312637,bootstrap 1
women,1918554,Intimate Partner Relationships,5711,0.0029767210096770798,0.2870964599180524,bootstrap 1
women,1918554,Mental Health/Mental Disability,21415,0.011162052253937078,0.4114078771007298,bootstrap 1
women,1918554,Parenting Language,55998,0.02918760691645896,0.5027054865984182,bootstrap 1
women,1918554,Racial Tropes,3547,0.0018487882019479253,0.22849638517662377,bootstrap 1
