gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
women,8491925,Mental Health/Mental Disability,79307,0.00933910744619153,0.381422124918481,bootstrap 11
women,8491925,Parenting Language,226969,0.026727626539330012,0.49311971902955193,bootstrap 11
women,8491925,Racial Tropes,17894,0.002107178289963701,0.24696697582265092,bootstrap 11
women,8491925,Religion ,9902,0.0011660489229473883,0.20567727545952305,bootstrap 11
women,8491925,Sexual Language,54377,0.00640337732610686,0.35783322503997606,bootstrap 11
women,8491925,Sexuality,2233,0.0002629556902586869,0.12820520981453748,bootstrap 11
women,8491925,Socioeconomic Status/Spending/Poverty,21779,0.002564671732263297,0.2753056578776027,bootstrap 11
women,8491925,Testimony re Gender-Based Violence ,27973,0.003294070543486901,0.2886466428245075,bootstrap 11
women,8491925,Women’s Non-Domestic Work,15509,0.0018263232423743733,0.23968140360611595,bootstrap 11
men,6197263,Characterization,82187,0.013261822194733385,0.41234660524643146,bootstrap 12
men,6197263,Clothing/Makeup/Appearance ,8751,0.0014120749756787794,0.21926305339047455,bootstrap 12
men,6197263,Drugs and Addiction,32539,0.0052505436674222155,0.3315322417088756,bootstrap 12
men,6197263,Emotions,8884,0.0014335360626134472,0.21728032923393845,bootstrap 12
men,6197263,Explicit Reference to Defendant’s Gender ,8079,0.0013036400101141424,0.19985953523502242,bootstrap 12
men,6197263,Figurative/Metaphorical Language,10574,0.0017062370920840376,0.2347381481564357,bootstrap 12
men,6197263,Gender and Gender Roles,39546,0.006381204089611818,0.34046829893045133,bootstrap 12
men,6197263,Immigration,16194,0.0026130890362406757,0.26904934552577087,bootstrap 12
men,6197263,Intimate Partner Relationships,10270,0.0016571831790905113,0.22375427304804252,bootstrap 12
men,6197263,Mental Health/Mental Disability,66787,0.010776854233877116,0.4076428150021957,bootstrap 12
men,6197263,Parenting Language,151046,0.024373017572434798,0.4718316534514321,bootstrap 12
men,6197263,Racial Tropes,15827,0.002553869345225465,0.2720127596634073,bootstrap 12
men,6197263,Religion ,8011,0.0012926674243129588,0.2162976426383494,bootstrap 12
men,6197263,Sexual Language,30139,0.004863275933262797,0.3116350523370782,bootstrap 12
men,6197263,Sexuality,452,7.293542326669047e-05,0.06745175831526612,bootstrap 12
men,6197263,Socioeconomic Status/Spending/Poverty,10336,0.0016678330417798954,0.22226647893646934,bootstrap 12
men,6197263,Testimony re Gender-Based Violence ,20308,0.003276930477212279,0.2880750070002058,bootstrap 12
men,6197263,Women’s Non-Domestic Work,11285,0.0018209651583287654,0.24104642371632265,bootstrap 12
women,8486091,Characterization,128197,0.015106719925581755,0.44009447033974125,bootstrap 12
women,8486091,Clothing/Makeup/Appearance ,12776,0.0015055223895195091,0.22640196329052717,bootstrap 12
women,8486091,Drugs and Addiction,43888,0.005171756937322496,0.3290354459614468,bootstrap 12
women,8486091,Emotions,14824,0.001746858477006669,0.23985289248843744,bootstrap 12
women,8486091,Explicit Reference to Defendant’s Gender ,20997,0.0024742840961757303,0.27534095505523326,bootstrap 12
women,8486091,Figurative/Metaphorical Language,14502,0.0017089140335638635,0.23492221812329597,bootstrap 12
women,8486091,Gender and Gender Roles,65395,0.00770613937559708,0.3741483145985691,bootstrap 12
women,8486091,Immigration,22022,0.0025950699798057784,0.26812010013482035,bootstrap 12
women,8486091,Intimate Partner Relationships,19963,0.0023524376535674673,0.2665907894292052,bootstrap 12
women,8486091,Mental Health/Mental Disability,80808,0.009522405545733602,0.3831837862506724,bootstrap 12
women,8486091,Parenting Language,224723,0.02648133280682472,0.49181564703907815,bootstrap 12
women,8486091,Racial Tropes,18071,0.002129484588369368,0.24838604342884013,bootstrap 12
women,8486091,Religion ,9942,0.001171564151268234,0.20591662953897355,bootstrap 12
women,8486091,Sexual Language,54988,0.006479779677121068,0.35971782987320167,bootstrap 12
women,8486091,Sexuality,2276,0.00026820358160194136,0.12934698439061396,bootstrap 12
women,8486091,Socioeconomic Status/Spending/Poverty,21582,0.0025432204297597093,0.27446671517189114,bootstrap 12
women,8486091,Testimony re Gender-Based Violence ,27899,0.0032876149925802115,0.28854426275886946,bootstrap 12
women,8486091,Women’s Non-Domestic Work,14664,0.0017280040951717344,0.23481306533977375,bootstrap 12
men,6201312,Characterization,82512,0.01330557146616716,0.4133276399223019,bootstrap 13
men,6201312,Clothing/Makeup/Appearance ,8825,0.0014230859534240495,0.2200585982190518,bootstrap 13
